Ссылка,Название должности,Зарплата,Необходимый опыт,Название компании,Город,Станция метро
https://hh.ru/vacancy/110981570?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Менеджер по логистике,Информация отсутствует,Информация отсутствует,ООО Альтхаус,Москва,Проспект Мира
https://hh.ru/vacancy/110646726?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Менеджер по логистике,Информация отсутствует,Информация отсутствует,STL GLOBAL,Москва,Румянцево
https://hh.ru/vacancy/110981369?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Менеджер по логистике / логист (транспортная компания),Информация отсутствует,Информация отсутствует,ООО Связь Континентов,Москва,Деловой центр (Выставочная)
https://hh.ru/vacancy/111881593?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Менеджер по логистике,Информация отсутствует,Информация отсутствует,"Тензо-М, Весоизмерительная компания",Москва,Информация отсутствует
https://hh.ru/vacancy/110980781?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Специалист по логистике,Информация отсутствует,Информация отсутствует,ООО Смарт Деливери Солюшн,Москва,Пражская
https://hh.ru/vacancy/110597610?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Диспетчер-логист,Информация отсутствует,Информация отсутствует,ООО Прайм-С,Москва,Информация отсутствует
https://hh.ru/vacancy/112354492?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Логист по транспорту (тралы),Информация отсутствует,Информация отсутствует,ООО Альянс А,Москва,Академическая
https://hh.ru/vacancy/112295014?query=%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82+%D0%BF%D0%BE+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B5&hhtmFrom=vacancy_search_list,Менеджер отдела логистики (Логист),Информация отсутствует,Информация отсутствует,ООО Абсолют Лайн,Москва,Каховская
https://adsrv.hh.ru/click?b=1417048&place=35&meta=HyN-s6ulQv35FT0bLLXMLcoXhJu9BHNiSttoqIhhczFzF8wIwztIsGMf_6HKlUp7s1kF2YcBX85MF79cTmRu0w6hOEfGhbjRy8fMY4zeJ7iMn_mv-ZkIZUk9jwjD10cCRdoPCw5eIVtKSanEWJkURln3ObE1g7DkVXy20cNZaciD109bEYERMcLhLj4EjrhEMOdFUOi4Q97OAzgh6uNtoEOlMftZOFpJ_NVcBbNGGQGbti6k_UrkyHlvEYAOiPhbI645C-RI9jvFy-g24afK25H-80KZJ17Z35KyigPFj4LZ3lpBQuTZl63qISBnZRlT-mpyvlmTk5N8kW4So2ChaueXIqV755C__q3JEdijEENeztvJenO-9fRK4uKvhp3ElBRxWXJ-XDlaIz8u_3iyXttv319xdJbciYKHvSmtA0ABC8Hrr47rQjPR1pRWi_f6DPNB3_z9BNql5-OoYVST6IyOIvyRcvJbpihsgxNQu64TNlUBLXkAr4LERl8rI19dRJFC_cj0BynGqWMHsOZzKfPaxzMTGWJEzdOB6b2jGdY%3D&clickType=link_to_vacancy,"Логист (м.Бауманская, БЦ Суперметалл)",80 000 – 150 000 ₽ до вычета налогов,Без опыта,ООО МЕГА-МТранс,Москва,Бауманская
https://adsrv.hh.ru/click?b=1420501&place=36&meta=9lGriqjuCxGEWrzSzlyiOmSsbTKTPPaqqxCScdfDE0XsfdfF5SZBE4YAAvafoWBmH-uRFkskLoWa2jCtTIPJDNHgPhzGUKrB23TCo1QgJLV8K3bPDMawY5BgDTBgZPFpOO8jrPgWwKVfkJRuOW_O4g2pc-WvsHlaT23-36nXyCjKe_vyXrg1UPU1Qa6gs9Orhgkji_gxpYsI7ppbT6aj06TNlrBD0AzJXMMqFD74yoXcypf3C_-oIhgl6ORypUNDxUs8UNUDtYZFFNJCUHVZF-22inKKVPMS7dNDVFW7To6BYQiZb24WaZ84sIVx1nIDSgoNmU6Z7NkIAFv4sgKnLql_Rxq1kqp4lrU6nSxoYGbON5l0GNEVXapf8m9P8T8N007YWr8Zlp7Q7rYb7zZM7g9eYuJjIRwn61S_a79SSbJwjjqj3khaVPHtnHGyrtEyu4qP52swzX9_nsgduHVcOPAUjoOVacfazT1PgWT2zQ1f1UqSOKgF77k6KzmMikTAIXE8gkyit-be_PLauKQ-zjUJ7bHQHszpX379wlaRvHU%3D&clickType=link_to_vacancy,Главный специалист по логистике и таможенному декларированию,от 150 000 ₽ до вычета налогов,Опыт 1-3 года,ООО ПФЛ,Москва,Кузнецкий мост
